date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:36	27964/27964	---MCZ	200	added ('OK')	text/html	etag:%2282077ea57442bc284150e8f200bd32da-ssl-df%22	https://katen-template.netlify.app/html/blog-single	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/blog-single.html	(from )
16:02:37	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1651299099-ssl-df	https://katen-template.netlify.app/robots.txt		(from )
16:02:39	5310/5310	---M--	200	added ('OK')	image/png	etag:%22248a682d51ea682311edbf6f9ccf6142-ssl%22	https://katen-template.netlify.app/html/images/favicon.png	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/images/favicon.png	(from https://katen-template.netlify.app/html/blog-single)
16:02:40	154875/154875	---MCZ	200	added ('OK')	text/css	etag:%2253eac037065d33c2413e64f162a441da-ssl-df%22	https://katen-template.netlify.app/html/css/bootstrap.min.css	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/css/bootstrap.min.css	(from https://katen-template.netlify.app/html/blog-single)
16:02:41	51215/51215	---MCZ	200	added ('OK')	text/css	etag:%22cfd89a6cde4c3bd6e9d6ecae7f70cf4f-ssl-df%22	https://katen-template.netlify.app/html/css/all.min.css	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/css/all.min.css	(from https://katen-template.netlify.app/html/blog-single)
16:02:42	4909/4909	---MCZ	200	added ('OK')	text/css	etag:%224f78ff36ad0a1872ce30109455c3bc33-ssl-df%22	https://katen-template.netlify.app/html/css/slick.css	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/css/slick.css	(from https://katen-template.netlify.app/html/blog-single)
16:02:44	12958/12958	---MCZ	200	added ('OK')	text/css	etag:%22f9e04c69489cc651e1afd6cff4778fca-ssl-df%22	https://katen-template.netlify.app/html/css/simple-line-icons.css	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/css/simple-line-icons.css	(from https://katen-template.netlify.app/html/blog-single)
16:02:45	65403/65403	---MCZ	200	added ('OK')	text/css	etag:%22df6d2828b5e9ee6f2d04bd2354ca30b5-ssl-df%22	https://katen-template.netlify.app/html/css/style.css	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/css/style.css	(from https://katen-template.netlify.app/html/blog-single)
16:02:46	2970/2970	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b80277cb065b9e54139214eeb3370bcd-ssl-df%22	https://katen-template.netlify.app/html/images/logo.svg	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/images/logo.svg	(from https://katen-template.netlify.app/html/blog-single)
16:02:46	45763/45763	---MCZ	200	added ('OK')	text/html	etag:%22c04ea3a2038dac2fee39fb2ee8ff7187-ssl-df%22	https://katen-template.netlify.app/html/	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/index.html	(from https://katen-template.netlify.app/html/blog-single)
16:02:49	55136/55136	---MCZ	200	added ('OK')	text/html	etag:%22b8623e260bede380e41d3e598b75c524-ssl-df%22	https://katen-template.netlify.app/html/personal	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/personal.html	(from https://katen-template.netlify.app/html/blog-single)
16:02:50	51028/51028	---MCZ	200	added ('OK')	text/html	etag:%2283ed113bb18d410ed286d62d4cbfbf4f-ssl-df%22	https://katen-template.netlify.app/html/personal-alt	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/personal-alt.html	(from https://katen-template.netlify.app/html/blog-single)
16:02:51	20193/20193	---MCZ	200	added ('OK')	text/html	etag:%2288607ec0360a0cc0fb6468f412c5263c-ssl-df%22	https://katen-template.netlify.app/html/minimal	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/minimal.html	(from https://katen-template.netlify.app/html/blog-single)
16:02:53	30442/30442	---MCZ	200	added ('OK')	text/html	etag:%22f270da1212d35de07de34c643a0effcb-ssl-df%22	https://katen-template.netlify.app/html/classic	C:/Users/FIN/Desktop/blog%20single/katen-template.netlify.app/html/classic.html	(from https://katen-template.netlify.app/html/blog-single)
